,站號,站名,海拔高度(m),城市,經度,緯度,地址
242,C0M680,太保,37.0,嘉義縣,120.331455,23.455062,太保市太保里31號(太保市圖書館)
243,C0M690,水上,33.0,嘉義縣,120.388909,23.419734,水上鄉三鎮村三鎮路119號(水上消防分隊)
244,C0M700,竹崎,150.0,嘉義縣,120.555508,23.526178,竹崎鄉竹崎村舊車站79號(竹崎消防分隊)
245,C0M710,東石,15.0,嘉義縣,120.15385,23.458927,東石鄉東石村3號(東石鄉公所)
246,C0M720,番路,225.0,嘉義縣,120.554156,23.464657,番路鄉下坑村蔡公店101號(番路鄉公所)
247,C0M730,嘉義市東區,40.0,嘉義市,120.460531,23.457673,親水路123 號(第五河川局水情中心)
248,C0M740,六腳,15.0,嘉義縣,120.290625,23.492871,六腳鄉蒜頭村73-2號(六腳消防分隊)
249,C0M750,布袋,10.0,嘉義縣,120.167789,23.380878,布袋鎮龍江里2-2號(布袋消防分隊)
250,C0M760,民雄,40.0,嘉義縣,120.428457,23.551754,民雄鄉文化路7號(民雄鄉公所)
251,C0M770,嘉義梅山,164.0,嘉義縣,120.555587,23.585398,梅山鄉中山路282號(梅山鄉公所)
252,C0M780,鹿草,30.0,嘉義縣,120.30835,23.41134,鹿草鄉西井村287號(鹿草鄉公所)
253,C0M790,新港,15.0,嘉義縣,120.345728,23.553269,新港鄉公園路28號(新港消防分隊)
254,C0M800,茶山,440.0,嘉義縣,120.664767,23.299075,阿里山鄉茶山路62號之1(茶山村衛生室)
255,C0M810,里佳,1354.0,嘉義縣,120.716647,23.389125,阿里山鄉里佳村
256,C0M820,達邦,980.0,嘉義縣,120.749517,23.453994,阿里山鄉達邦村21號(鄒族自然與文化中心)
